YEAR,PERSONEL_COMMERCIAL,KARA_LISTE_KONTROL,KULLANIM_SEKLI,MARKA,TIP_GRUP,EGM_KULLANIM_SEKLI,MOTOR_GUCU,SILINDIR_HACMI,PLAKA_IL_KODU,ARAC_BEDELI,HASARSIZLIK_INDIRIMI,MEDENI_DURUM,ONCEKI_ŞIRKET,ARAC_YASI,ONCEKI_KASKO_POLICESI_VAR_MI,UYGULANAN_BASAMAK_KODU,ONCEKI_POLICE_BASAMAK_KODU,ONCEKI_POLICE_BASLANGIC_TARIHI,ONCEKI_POLICE_BITIS_TARIHI,PAKET_TIPI,EGM_CINSI,EGM_CINSI,ORJINAL_OLMAYAN_PARCA_VARMI,IKAMET_IL_KODU,ALT_KULLANIM_SEKLI,TCK_PLAKA_SORGU,CLAIM_EXPERIENCE,PERT_SORGU,ARAC_TARIFE_GRUP_KODU,IHALE_FILO_KODU,ARAC_ALT_CINS,ARAC_UST_CINS_ID,SEGMENT,AGIRLIK,ARAC_TIPI,YAKIT_TIPI,LPG_VAR_MI,MESLEK,HASAR_VAR_MI
2019,O,1,1,SD45GV4XC5V,WEF1EW,4R561446512,100,0,34,76084,4,E,106,4,E,0,3,5/24/2018 0:00,5/24/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,DF4H,4,B,1135,10,O,H,45,1
2019,O,1,1,45RD4G5FDS4GV,SDV15FDSGFD,4R561446512,124,0,34,45350,0,E,,9,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,0,T,,1,9999999,144RH5ER64HRE+,4,C,1305,10,O,H,45,0
2019,O,1,1,BD4DF54H5DF,1MG5H6,4R561446512,95,1248,34,76021,5,E,40,3,E,0,4,5/8/2018 0:00,5/8/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1205,10,D,H,16,0
2019,T,1,1,XC4B5VCX45B4XC,1BD5FBDF,4R561446512,160,0,34,88511,5,,93,8,E,0,4,5/13/2018 0:00,5/13/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,0,100,1,0,,1,9999999,5H4DF56H4DF,4,C,1380,10,O,H,,0
2019,O,1,1,HE45H4ER5H4,1BD5BDF,4R561446512,114,0,34,52275,5,E,18,11,E,0,4,5/25/2018 0:00,5/25/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,#N/A,4,H,1372,40,O,H,3,0
2019,O,1,1,#N/A,0BDFGDFGD,4R561446512,105,1598,34,117793,0,E,,5,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,0,T,,1,9999999,144RH5ER64HRE+,4,D,1444,10,D,H,18,0
2019,O,1,1,#N/A,B4DGF5GHD,4R561446512,115,1598,6,46400,5,E,11,10,E,0,8,5/23/2018 0:00,5/23/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,6,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1270,10,L,E,10,1
2019,O,1,1,45RD4G5FDS4GV,RYHE4WE,4R561446512,136,1991,37,69912,4,E,35,11,E,0,3,5/28/2018 0:00,5/28/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,37,100,1,0,,1,9999999,DF4H,4,H,1805,40,O,H,1,0
2019,O,1,1,#N/A,RF4WE,4R561446512,105,1598,34,64324,2,E,110,8,E,0,1,5/31/2018 0:00,5/31/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,NFD4HFDHDFHFD,4,C,1365,10,D,H,3,1
2019,O,1,1,#N/A,1BVD5FB3DF,4R561446512,113,1598,34,37806,5,E,61,10,E,0,4,5/9/2018 0:00,5/9/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,#N/A,4,C,1350,10,O,H,9,0
